"Gene","Pathway","TCGA_available","CGGA_available","Loss_Gain_Category"
"AQP4","Endfoot_Organization",TRUE,TRUE,"Loss"
"DAG1","Endfoot_Organization",TRUE,TRUE,"Loss"
"DMD","Endfoot_Organization",TRUE,TRUE,"Loss"
"DTNA","Endfoot_Organization",TRUE,TRUE,"Loss"
"SNTA1","Endfoot_Organization",TRUE,TRUE,"Loss"
"ALDH1L1","Homeostatic_Astrocytes",TRUE,TRUE,"Loss"
"GLUL","Homeostatic_Astrocytes",TRUE,TRUE,"Loss"
"KCNJ10","Homeostatic_Astrocytes",TRUE,TRUE,"Loss"
"SLC1A2","Homeostatic_Astrocytes",TRUE,TRUE,"Loss"
"SLC1A3","Homeostatic_Astrocytes",TRUE,TRUE,"Loss"
"SOX9","Homeostatic_Astrocytes",TRUE,TRUE,"Loss"
"GFAP","Reactive_Astrocytes",TRUE,TRUE,"Loss"
"GJA1","Reactive_Astrocytes",TRUE,TRUE,"Loss"
"LCN2","Reactive_Astrocytes",TRUE,TRUE,"Gain"
"S100B","Reactive_Astrocytes",TRUE,TRUE,"Loss"
"SERPINA3","Reactive_Astrocytes",TRUE,TRUE,"Gain"
"VIM","Reactive_Astrocytes",TRUE,TRUE,"Gain"
"ABCB1","BBB_Specialization",TRUE,TRUE,"Ambiguous"
"CLDN5","BBB_Specialization",TRUE,TRUE,"Loss"
"MFSD2A","BBB_Specialization",TRUE,TRUE,"Ambiguous"
"OCLN","BBB_Specialization",TRUE,TRUE,"Loss"
"SLC2A1","BBB_Specialization",TRUE,TRUE,"Ambiguous"
"TJP1","BBB_Specialization",TRUE,TRUE,"Loss"
"ANGPT2","Endothelial_Angiogenesis",TRUE,TRUE,"Gain"
"EMCN","Endothelial_Angiogenesis",TRUE,TRUE,"Gain"
"KDR","Endothelial_Angiogenesis",TRUE,TRUE,"Gain"
"PECAM1","Endothelial_Angiogenesis",TRUE,FALSE,"Gain"
"PLVAP","Endothelial_Angiogenesis",TRUE,TRUE,"Gain"
"VWF","Endothelial_Angiogenesis",TRUE,TRUE,"Gain"
"AGRN","Basement_Membrane",TRUE,TRUE,"Gain"
"COL4A1","Basement_Membrane",TRUE,TRUE,"Gain"
"COL4A2","Basement_Membrane",TRUE,TRUE,"Gain"
"HSPG2","Basement_Membrane",TRUE,TRUE,"Gain"
"LAMA2","Basement_Membrane",TRUE,TRUE,"Gain"
"LAMB2","Basement_Membrane",TRUE,TRUE,"Gain"
"LAMC1","Basement_Membrane",TRUE,TRUE,"Gain"
"COL1A1","ECM_Remodeling",TRUE,TRUE,"Gain"
"COL1A2","ECM_Remodeling",TRUE,TRUE,"Gain"
"CSPG4","ECM_Remodeling",TRUE,TRUE,"Gain"
"FN1","ECM_Remodeling",TRUE,TRUE,"Gain"
"MMP2","ECM_Remodeling",TRUE,TRUE,"Gain"
"MMP9","ECM_Remodeling",TRUE,TRUE,"Gain"
"TIMP1","ECM_Remodeling",TRUE,TRUE,"Gain"
"VCAN","ECM_Remodeling",TRUE,TRUE,"Gain"
"AIF1","Neuroinflammation",TRUE,TRUE,"Gain"
"C1QA","Neuroinflammation",TRUE,TRUE,"Gain"
"C1QB","Neuroinflammation",TRUE,TRUE,"Gain"
"C1QC","Neuroinflammation",TRUE,TRUE,"Gain"
"CCL2","Neuroinflammation",TRUE,TRUE,"Gain"
"CD68","Neuroinflammation",TRUE,TRUE,"Gain"
"CSF1R","Neuroinflammation",TRUE,TRUE,"Gain"
"CXCL10","Neuroinflammation",TRUE,TRUE,"Gain"
"IL1B","Neuroinflammation",TRUE,TRUE,"Gain"
"TNF","Neuroinflammation",TRUE,TRUE,"Gain"
"TREM2","Neuroinflammation",TRUE,TRUE,"Gain"
"TYROBP","Neuroinflammation",TRUE,TRUE,"Gain"
