Gene,Category,Cohort,g_II_III,g_III_IV,Delta_g,CI_lo,CI_hi,p_boot,BH_p
ALDH1L1,Loss,TCGA,-0.05319350586152053,0.22491842630185002,0.27811193216337055,0.039949304729151675,0.5256635364336414,0.026,0.032355555555555554
ALDH1L1,Loss,CGGA,-0.06503738857649896,-0.17395972796491013,-0.10892233938841117,-0.4582574919135108,0.22525855448958418,0.522,0.6354782608695652
SLC1A2,Loss,TCGA,-0.42694946977247217,-0.3918745787998855,0.03507489097258665,-0.20449297824029672,0.27472932642018516,0.868,0.8837818181818181
SLC1A2,Loss,CGGA,-0.29016863564883266,-0.565453851018116,-0.2752852153692833,-0.6350755662769559,0.09605137061562706,0.124,0.23146666666666665
SLC1A3,Loss,TCGA,-0.326748570906747,0.17057668722377298,0.49732525813052,0.2509973441428211,0.7382339806525764,0.0,0.0
SLC1A3,Loss,CGGA,-0.22551447810389424,-0.07579728699466365,0.1497171911092306,-0.1566801960806702,0.5007204142317829,0.384,0.500093023255814
GLUL,Loss,TCGA,-0.3809022609086827,-0.14269329248507384,0.23820896842360884,-0.019035510342471786,0.4845098732699457,0.072,0.08064
GLUL,Loss,CGGA,-0.2751518635054337,0.05047454878147107,0.32562641228690475,-0.005412496667850578,0.6450864469599047,0.052,0.11648
KCNJ10,Loss,TCGA,-0.4123899150230074,-1.7748574671623292,-1.3624675521393217,-1.645357196260677,-1.0777115458364648,0.0,0.0
KCNJ10,Loss,CGGA,-0.029628526614303957,-0.7684638827968412,-0.7388353561825373,-1.0692622202712458,-0.40679501632833315,0.0,0.0
SOX9,Loss,TCGA,0.1509326809143171,-0.42244946783812076,-0.5733821487524379,-0.8253446219215372,-0.33369257567255006,0.0,0.0
SOX9,Loss,CGGA,-0.13393454173262787,0.1538260494556523,0.2877605911882801,-0.042169687606264834,0.6118338327752378,0.09,0.18
GFAP,Loss,TCGA,0.01609325888080289,-0.2334288030232876,-0.24952206190409051,-0.4856681754189913,-0.011387549353110907,0.048,0.056
GFAP,Loss,CGGA,0.13523158160617893,-0.11464321544053577,-0.2498747970467147,-0.5438567099003592,0.08254503165220482,0.13,0.23483870967741935
GJA1,Loss,TCGA,-0.2600530455477229,0.21172102440722948,0.4717740699549524,0.22073095566668155,0.7245745177972378,0.0,0.0
GJA1,Loss,CGGA,-0.18940132380762384,-0.001015279305070375,0.18838604450255347,-0.14903977239193378,0.557587604775246,0.26,0.37333333333333335
S100B,Loss,TCGA,0.02335954902694748,0.020156028531896394,-0.003203520495051085,-0.25007392495644165,0.2470441643813383,0.958,0.958
S100B,Loss,CGGA,0.07346482010896231,-0.2514757150168736,-0.3249405351258359,-0.6450037190917477,0.0014249193364899704,0.052,0.11648
AQP4,Loss,TCGA,-0.18207674124886844,0.2825921317737756,0.46466887302264404,0.21516529582197166,0.7159055743308992,0.0,0.0
AQP4,Loss,CGGA,-0.11716023264211452,-0.15471844415525413,-0.03755821151313961,-0.34539584414354507,0.2981938990957763,0.788,0.9005714285714286
SNTA1,Loss,TCGA,-0.4018981530496512,-0.04865262719257432,0.3532455258570769,0.11212262462022031,0.5899794835401434,0.004,0.005894736842105263
SNTA1,Loss,CGGA,-0.08126338305256729,-0.30650790272186806,-0.22524451966930076,-0.5554131584991693,0.08567883754880158,0.142,0.24849999999999997
DAG1,Loss,TCGA,0.30050084889286505,-0.11354479999218677,-0.4140456488850518,-0.6439893678416095,-0.16941778548750167,0.002,0.0031111111111111114
DAG1,Loss,CGGA,-0.03466827824075403,0.16010300379999853,0.19477128204075256,-0.13587575068793012,0.5058269072959067,0.26,0.37333333333333335
DTNA,Loss,TCGA,-0.08364673390121849,-0.31125344824786405,-0.22760671434664556,-0.479015909575873,0.0232641798221058,0.072,0.08064
DTNA,Loss,CGGA,-0.18789921976600157,0.04055641669142567,0.22845563645742725,-0.08852699406690966,0.5799215657835691,0.156,0.26472727272727276
DMD,Loss,TCGA,-0.04760395676723057,0.39239783667937295,0.4400017934466035,0.2041345522716019,0.6757211057024357,0.0,0.0
