"Cohort","Pathway_Model","Term","chisq","df","P"
"CGGA","Endfoot_Organization","Endfoot_Organization",0.0128881067962225,1,0.909613711496642
"CGGA","Endfoot_Organization","Grade",7.71150981978064,2,0.0211576251793473
"CGGA","Endfoot_Organization","IDH_Group",18.7477565274815,1,1.49198776675371e-05
"CGGA","Endfoot_Organization","Age",5.29479902021998,1,0.0213891990467673
"CGGA","Endfoot_Organization","GLOBAL",21.3737016928758,5,0.000688383804904674
"CGGA","Homeostatic_Astrocytes","Homeostatic_Astrocytes",0.24114950535982,1,0.623377111457198
"CGGA","Homeostatic_Astrocytes","Grade",7.48155839277078,2,0.0237356012292506
"CGGA","Homeostatic_Astrocytes","IDH_Group",18.7004784160156,1,1.52944108817785e-05
"CGGA","Homeostatic_Astrocytes","Age",5.45622462514273,1,0.0194987325153459
"CGGA","Homeostatic_Astrocytes","GLOBAL",20.9496482836813,5,0.000827995951141677
"CGGA","Reactive_Astrocytes","Reactive_Astrocytes",0.000819724690269612,1,0.977159019699713
"CGGA","Reactive_Astrocytes","Grade",8.05133376953126,2,0.0178515152792489
"CGGA","Reactive_Astrocytes","IDH_Group",19.1489359957064,1,1.20904881597603e-05
"CGGA","Reactive_Astrocytes","Age",5.42518476580576,1,0.0198483350899607
"CGGA","Reactive_Astrocytes","GLOBAL",24.4459699473104,5,0.000178193843116774
"CGGA","BBB_Specialization","BBB_Specialization",2.8491021057677,1,0.091424984284308
"CGGA","BBB_Specialization","Grade",7.56845524296726,2,0.0227264093899125
"CGGA","BBB_Specialization","IDH_Group",18.799653303134,1,1.45193515793336e-05
"CGGA","BBB_Specialization","Age",5.5484864964894,1,0.0184966742112063
"CGGA","BBB_Specialization","GLOBAL",23.070322036008,5,0.000327274949596414
"CGGA","Endothelial_Angiogenesis","Endothelial_Angiogenesis",0.114730511765717,1,0.734821480695042
"CGGA","Endothelial_Angiogenesis","Grade",7.43304049968184,2,0.0243184428899417
"CGGA","Endothelial_Angiogenesis","IDH_Group",18.7529785319877,1,1.48790784365464e-05
"CGGA","Endothelial_Angiogenesis","Age",5.6594515355605,1,0.0173615513590552
"CGGA","Endothelial_Angiogenesis","GLOBAL",23.6517224337488,5,0.000253252312022568
"CGGA","Basement_Membrane","Basement_Membrane",0.602378225505071,1,0.437672061309197
"CGGA","Basement_Membrane","Grade",7.54647146088518,2,0.0229775935712207
"CGGA","Basement_Membrane","IDH_Group",18.7691262815867,1,1.47536245784707e-05
"CGGA","Basement_Membrane","Age",5.45849048812176,1,0.0194734626805408
"CGGA","Basement_Membrane","GLOBAL",22.0411794990657,5,0.000514244073924013
"CGGA","ECM_Remodeling","ECM_Remodeling",0.035064482231903,1,0.851460604812995
"CGGA","ECM_Remodeling","Grade",7.22922751630466,2,0.0269273236681867
"CGGA","ECM_Remodeling","IDH_Group",18.6496636106779,1,1.57074984153341e-05
"CGGA","ECM_Remodeling","Age",5.63617697515227,1,0.0175935297951464
"CGGA","ECM_Remodeling","GLOBAL",22.3749001781833,5,0.000444277051466664
"CGGA","Neuroinflammation","Neuroinflammation",0.121294611626498,1,0.727634598539702
"CGGA","Neuroinflammation","Grade",7.39558546186685,2,0.0247781582168355
"CGGA","Neuroinflammation","IDH_Group",18.6759159737739,1,1.54927053020351e-05
"CGGA","Neuroinflammation","Age",5.85052359949677,1,0.0155724172413627
"CGGA","Neuroinflammation","GLOBAL",22.2575701138739,5,0.000467733730773659
