"Cohort","Pathway_Model","Term","chisq","df","P"
"TCGA","Endfoot_Organization","Endfoot_Organization",0.0856338984975934,1,0.769802914560815
"TCGA","Endfoot_Organization","Grade",15.9343210563165,2,0.000346661926496497
"TCGA","Endfoot_Organization","IDH_Group",43.7956378011882,1,3.64516578571599e-11
"TCGA","Endfoot_Organization","GLOBAL",47.4001357836691,4,1.25860496555002e-09
"TCGA","Homeostatic_Astrocytes","Homeostatic_Astrocytes",1.93422451167898,1,0.164297002186664
"TCGA","Homeostatic_Astrocytes","Grade",16.5242991910386,2,0.000258103576186209
"TCGA","Homeostatic_Astrocytes","IDH_Group",43.6516055835178,1,3.92355097094719e-11
"TCGA","Homeostatic_Astrocytes","GLOBAL",45.103500891963,4,3.78374983437664e-09
"TCGA","Reactive_Astrocytes","Reactive_Astrocytes",0.583676993368837,1,0.444874655351022
"TCGA","Reactive_Astrocytes","Grade",15.9959232238222,2,0.000336147128329255
"TCGA","Reactive_Astrocytes","IDH_Group",41.8515920466993,1,9.84705622656093e-11
"TCGA","Reactive_Astrocytes","GLOBAL",42.101847220477,4,1.58901070077603e-08
"TCGA","BBB_Specialization","BBB_Specialization",3.7803364472706,1,0.0518582322343713
"TCGA","BBB_Specialization","Grade",15.5098429903087,2,0.000428627851234478
"TCGA","BBB_Specialization","IDH_Group",43.721647827325,1,3.78561147036039e-11
"TCGA","BBB_Specialization","GLOBAL",48.8337760424336,4,6.32415699644634e-10
"TCGA","Endothelial_Angiogenesis","Endothelial_Angiogenesis",3.03513337654101,1,0.081479853079938
"TCGA","Endothelial_Angiogenesis","Grade",15.9918635869309,2,0.000336830138930032
"TCGA","Endothelial_Angiogenesis","IDH_Group",43.7262032756011,1,3.77681006722068e-11
"TCGA","Endothelial_Angiogenesis","GLOBAL",45.3895920122657,4,3.29934933244004e-09
"TCGA","Basement_Membrane","Basement_Membrane",11.1274750246438,1,0.000850583010609271
"TCGA","Basement_Membrane","Grade",16.2588465616624,2,0.000294738132930576
"TCGA","Basement_Membrane","IDH_Group",43.5803417595,1,4.06906073040123e-11
"TCGA","Basement_Membrane","GLOBAL",44.3172933524631,4,5.51232987182949e-09
"TCGA","ECM_Remodeling","ECM_Remodeling",10.5279245066994,1,0.0011758419107416
"TCGA","ECM_Remodeling","Grade",15.8525927321819,2,0.000361121400716457
"TCGA","ECM_Remodeling","IDH_Group",43.9407440941327,1,3.38469167626139e-11
"TCGA","ECM_Remodeling","GLOBAL",45.4615855946861,4,3.18753062591217e-09
"TCGA","Neuroinflammation","Neuroinflammation",0.604422650621501,1,0.436895542535379
"TCGA","Neuroinflammation","Grade",16.0185942013982,2,0.000332358251281959
"TCGA","Neuroinflammation","IDH_Group",42.9969970715024,1,5.4823950671446e-11
"TCGA","Neuroinflammation","GLOBAL",43.2587342483928,4,9.14445062084896e-09
